phi_WT,phi_PV,phi_load,phi_curt_WT,phi_curt_PV
-0.01,-0.01,0.01,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-0.02,-0.02,0.02,0.00,0.00
-0.02,-0.02,0.02,0.00,0.00
-0.02,-0.02,0.02,0.00,0.00
-0.01,-0.01,0.01,0.00,0.00
-0.01,-0.01,0.01,0.00,0.00
0.02,0.02,-0.02,0.00,0.00
0.02,0.02,-0.02,0.00,0.00
0.04,0.04,-0.04,0.00,0.00
0.04,0.04,-0.04,0.00,0.00
0.02,0.02,-0.02,0.00,0.00
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.08,0.08,-0.08,0.00,-0.46
0.02,0.02,-0.02,0.00,0.00
-0.01,-0.01,0.01,0.00,0.00
-0.02,-0.02,0.02,0.00,0.00
-0.02,-0.02,0.02,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
