MP, SP
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
8.55,8.55
46.72,46.72
135.11,135.11
471.53,471.53
855.15,855.15
1543.58,1543.58
1763.24,1763.24
2159.41,2159.41
2436.77,2436.77
2815.93,2815.93
3095.21,3095.21
3197.43,3197.43
3400.59,3400.59
3603.56,3603.56
3713.79,3713.79
3779.40,3779.40
2714.12,2714.12
3812.42,3812.42
2655.88,2655.88
3845.59,3845.59
3772.81,3772.81
3919.06,3919.06
3700.73,3700.73
3125.10,3125.10
3301.30,3301.30
3191.37,3191.37
3681.20,3681.20
3125.10,3125.10
2708.54,2708.54
4306.11,4306.11
2798.53,2798.53
1668.04,1668.04
1405.70,1405.70
125.09,125.09
43.46,43.46
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
