PV_worst, WT_worst, load_worst
1.69,168.67,363.31
1.69,139.85,389.53
1.69,140.46,383.72
1.69,141.07,379.92
1.69,141.58,377.38
2.03,142.13,373.23
2.03,142.68,370.10
2.03,143.23,370.24
2.03,143.67,368.51
2.03,143.49,365.16
2.37,143.31,366.34
2.37,143.13,364.24
2.37,142.98,361.16
2.37,140.01,361.02
2.37,137.05,359.85
2.71,134.09,360.83
2.71,131.20,360.08
2.71,129.63,359.35
2.71,128.07,361.11
2.71,126.50,360.96
3.05,125.11,359.61
3.05,124.97,363.99
3.05,124.82,364.89
3.05,124.67,369.43
3.05,124.72,377.34
3.39,131.80,381.40
3.05,138.89,383.34
11.18,145.97,389.75
19.75,153.51,401.14
31.47,156.41,409.12
23.43,159.32,415.84
59.59,162.23,421.39
91.44,165.64,475.01
124.26,154.74,436.24
145.96,154.63,476.05
165.38,154.51,481.61
184.41,154.87,502.05
225.23,150.37,456.52
260.38,166.81,409.99
272.91,161.74,407.84
306.81,194.17,399.42
349.79,194.03,398.17
287.34,194.05,348.96
369.16,138.14,345.94
403.09,138.09,392.21
415.70,139.23,388.11
427.93,140.36,385.73
434.42,141.50,334.17
444.71,142.39,369.97
471.07,142.88,366.46
446.65,143.37,363.72
453.24,143.87,360.98
451.41,144.22,370.28
447.11,145.91,372.92
455.70,147.60,379.03
442.82,149.29,380.68
407.18,150.73,383.01
418.50,150.38,382.12
411.47,150.03,385.48
441.92,149.67,383.45
405.45,149.04,382.56
348.60,149.57,342.61
314.86,150.10,390.21
354.35,150.63,394.84
269.34,171.66,402.88
260.10,170.87,406.50
130.10,149.47,459.73
183.10,149.49,510.18
84.89,160.10,529.30
94.79,160.14,533.31
43.49,160.19,530.38
48.29,160.23,531.73
54.19,160.23,517.98
51.40,160.51,520.08
26.32,160.80,521.78
10.22,161.09,523.91
4.10,141.68,509.31
0.33,160.83,508.83
0.33,160.65,509.05
0.33,160.47,508.60
0.66,137.22,495.84
0.66,138.25,461.85
0.66,139.28,490.35
0.66,140.31,458.33
0.97,140.88,448.90
0.98,141.75,444.92
0.99,142.62,442.42
0.99,143.49,438.36
1.34,144.62,430.57
1.34,144.42,427.03
1.34,144.23,421.42
1.34,144.03,416.35
1.68,144.21,421.85
1.68,144.21,416.29
1.68,144.21,408.38
1.68,144.21,398.27
